REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,9,1G,18,1,9,1000000,1,9,1500,1247.09,230,193,2023-02-21T10:44:16.360781
1,cpu,9,1.25G,34,1,9,1000000,1,9,500,218.48,111,114,2023-02-21T10:47:24.740107
1,cpu,9,1.25G,34,1,9,1000000,1,9,750,304.28,116,114,2023-02-21T10:48:28.189161
1,cpu,9,1.25G,34,1,9,1000000,1,9,1000,304.28,116,114,2023-02-21T10:48:38.195697
1,cpu,9,1.25G,34,1,9,1000000,1,9,1500,685.02,127,114,2023-02-21T10:50:02.492780
1,cpu,9,1.5G,50,1,9,1000000,1,9,500,364.78,74,86,2023-02-21T10:52:57.326775
1,cpu,9,1.5G,50,1,9,1000000,1,9,750,379.47,84,86,2023-02-21T10:54:17.171103
1,cpu,9,1.5G,50,1,9,1000000,1,9,1000,379.47,84,86,2023-02-21T10:54:27.182078
1,cpu,9,1.5G,50,1,9,1000000,1,9,1500,1230.01,85,86,2023-02-21T10:54:37.193275
1,cpu,9,2G,101,1,9,1000000,1,9,500,371.6,40,54,2023-02-21T10:57:15.541000
1,cpu,9,2G,101,1,9,1000000,1,9,750,661.02,47,54,2023-02-21T10:58:00.056490
1,cpu,9,2G,101,1,9,1000000,1,9,1000,661.02,47,54,2023-02-21T10:58:10.067539
1,cpu,9,2G,101,1,9,1000000,1,9,1500,217.62,53,54,2023-02-21T10:58:54.364290
1,cpu,9,2.25G,152,1,9,1000000,1,9,500,456.42,23,36,2023-02-21T11:02:04.104612
1,cpu,9,2.25G,152,1,9,1000000,1,9,750,698.51,29,36,2023-02-21T11:02:51.633412
1,cpu,9,2.25G,152,1,9,1000000,1,9,1000,698.51,29,36,2023-02-21T11:04:39.328365
1,cpu,9,2.25G,152,1,9,1000000,1,9,1500,1210.61,32,36,2023-02-21T11:07:30.472722
1,cpu,10,1G,18,1,10,1000000,1,10,500,218.15,246,212,2023-02-21T11:55:44.433679
1,cpu,10,1G,18,1,10,1000000,1,10,750,689.02,253,212,2023-02-21T11:56:52.993331
1,cpu,10,1G,18,1,10,1000000,1,10,1000,689.02,253,212,2023-02-21T11:57:03.005112
1,cpu,10,1G,18,1,10,1000000,1,10,1500,689.02,253,212,2023-02-21T11:57:13.016102
1,cpu,10,1.25G,34,1,10,1000000,1,10,500,383.32,114,121,2023-02-21T12:00:04.660890
1,cpu,10,1.25G,34,1,10,1000000,1,10,750,517.8,125,121,2023-02-21T12:01:27.419193
1,cpu,10,1.25G,34,1,10,1000000,1,10,1000,517.8,125,121,2023-02-21T12:01:37.430461
1,cpu,10,1.25G,34,1,10,1000000,1,10,1500,1198.65,127,121,2023-02-21T12:02:05.559325
1,cpu,10,1.5G,50,1,10,1000000,1,10,500,382.04,97,98,2023-02-21T12:05:00.282770
1,cpu,10,1.5G,50,1,10,1000000,1,10,750,382.04,97,98,2023-02-21T12:05:10.293732
1,cpu,10,1.5G,50,1,10,1000000,1,10,1000,382.04,97,98,2023-02-21T12:05:20.304893
1,cpu,10,1.5G,50,1,10,1000000,1,10,1500,382.04,97,98,2023-02-21T12:05:30.315874
1,cpu,10,2G,101,1,10,1000000,1,10,500,389.83,46,55,2023-02-21T12:08:31.370023
1,cpu,10,2G,101,1,10,1000000,1,10,750,591.77,47,55,2023-02-21T12:08:41.381016
1,cpu,10,2G,101,1,10,1000000,1,10,1000,678.86,51,55,2023-02-21T12:09:42.797926
1,cpu,10,2G,101,1,10,1000000,1,10,1500,1201.16,54,55,2023-02-21T12:10:09.915669
1,cpu,10,2.25G,152,1,10,1000000,1,10,500,391.72,35,41,2023-02-21T12:13:11.898354
1,cpu,10,2.25G,152,1,10,1000000,1,10,750,679.12,38,41,2023-02-21T12:13:39.154388
1,cpu,10,2.25G,152,1,10,1000000,1,10,1000,679.12,38,41,2023-02-21T12:13:49.165533
1,cpu,10,2.25G,152,1,10,1000000,1,10,1500,1158.67,40,41,2023-02-21T12:14:16.472077
1,cpu,11,1G,18,1,11,1000000,1,11,500,328.76,267,227,2023-02-21T12:17:27.011562
1,cpu,11,1G,18,1,11,1000000,1,11,750,663.38,268,227,2023-02-21T12:17:37.022520
1,cpu,11,1G,18,1,11,1000000,1,11,1000,663.38,268,227,2023-02-21T12:17:47.033460
1,cpu,11,1G,18,1,11,1000000,1,11,1500,1063.29,271,227,2023-02-21T12:18:36.490304
1,cpu,11,1.25G,34,1,11,1000000,1,11,500,367.98,125,132,2023-02-21T12:21:47.315545
1,cpu,11,1.25G,34,1,11,1000000,1,11,750,704.68,143,132,2023-02-21T12:23:10.722433
1,cpu,11,1.25G,34,1,11,1000000,1,11,1000,704.68,143,132,2023-02-21T12:23:20.733388
1,cpu,11,1.25G,34,1,11,1000000,1,11,1500,1233.59,145,132,2023-02-21T12:23:49.457768
1,cpu,11,1.5G,50,1,11,1000000,1,11,500,399.76,109,107,2023-02-21T12:26:47.785243
1,cpu,11,1.5G,50,1,11,1000000,1,11,750,399.76,109,107,2023-02-21T12:26:57.796215
1,cpu,11,1.5G,50,1,11,1000000,1,11,1000,399.76,109,107,2023-02-21T12:27:07.807286
1,cpu,11,1.5G,50,1,11,1000000,1,11,1500,1247.01,118,107,2023-02-21T12:28:12.773792
1,cpu,11,2G,101,1,11,1000000,1,11,500,384.72,48,56,2023-02-21T12:31:18.406234
1,cpu,11,2G,101,1,11,1000000,1,11,750,388.68,55,56,2023-02-21T12:32:19.816168
1,cpu,11,2G,101,1,11,1000000,1,11,1000,388.68,55,56,2023-02-21T12:32:29.827666
1,cpu,11,2G,101,1,11,1000000,1,11,1500,388.68,55,56,2023-02-21T12:32:39.838554
1,cpu,11,2.25G,152,1,11,1000000,1,11,500,391.72,35,46,2023-02-21T12:35:55.887998
1,cpu,11,2.25G,152,1,11,1000000,1,11,750,685.68,40,46,2023-02-21T12:36:40.038439
1,cpu,11,2.25G,152,1,11,1000000,1,11,1000,685.68,40,46,2023-02-21T12:36:50.046978
1,cpu,11,2.25G,152,1,11,1000000,1,11,1500,1189.83,45,46,2023-02-21T12:37:34.373245
1,cpu,12,1G,18,1,12,1000000,1,12,500,456.42,287,244,2023-02-21T12:40:46.893659
1,cpu,12,1G,18,1,12,1000000,1,12,750,680.26,289,244,2023-02-21T12:41:16.913639
1,cpu,12,1G,18,1,12,1000000,1,12,1000,358.34,292,244,2023-02-21T12:42:06.821304
1,cpu,12,1G,18,1,12,1000000,1,12,1500,358.34,292,244,2023-02-21T12:42:16.832650
1,cpu,12,1.25G,34,1,12,1000000,1,12,500,342.4,156,153,2023-02-21T12:45:27.896574
1,cpu,12,1.25G,34,1,12,1000000,1,12,750,630.59,162,153,2023-02-21T12:47:10.409653
1,cpu,12,1.25G,34,1,12,1000000,1,12,1000,630.59,162,153,2023-02-21T12:47:20.420793
1,cpu,12,1.25G,34,1,12,1000000,1,12,1500,1136.01,169,153,2023-02-21T12:48:26.194968
1,cpu,12,1.5G,50,1,12,1000000,1,12,500,385.18,106,112,2023-02-21T12:51:25.697016
1,cpu,12,1.5G,50,1,12,1000000,1,12,750,692.05,118,112,2023-02-21T12:53:05.645234
1,cpu,12,1.5G,50,1,12,1000000,1,12,1000,692.05,118,112,2023-02-21T12:53:15.657082
1,cpu,12,1.5G,50,1,12,1000000,1,12,1500,692.05,118,112,2023-02-21T12:53:25.664620
1,cpu,12,2G,101,1,12,1000000,1,12,500,380.79,57,68,2023-02-21T12:56:26.356705
1,cpu,12,2G,101,1,12,1000000,1,12,750,665.43,65,68,2023-02-21T12:57:28.560420
1,cpu,12,2G,101,1,12,1000000,1,12,1000,665.43,65,68,2023-02-21T12:57:38.571416
1,cpu,12,2G,101,1,12,1000000,1,12,1500,689.06,67,68,2023-02-21T12:58:05.899586
1,cpu,12,2.25G,152,1,12,1000000,1,12,500,391.72,33,46,2023-02-21T13:01:30.064734
1,cpu,12,2.25G,152,1,12,1000000,1,12,750,699.0,39,46,2023-02-21T13:02:48.062780
1,cpu,12,2.25G,152,1,12,1000000,1,12,1000,699.0,39,46,2023-02-21T13:02:58.074623
1,cpu,12,2.25G,152,1,12,1000000,1,12,1500,1002.86,45,46,2023-02-21T13:03:59.097701
1,cpu,13,1G,18,1,13,1000000,1,13,500,360.99,330,276,2023-02-21T13:07:32.491118
1,cpu,13,1G,18,1,13,1000000,1,13,750,360.99,330,276,2023-02-21T13:07:42.502793
1,cpu,13,1G,18,1,13,1000000,1,13,1000,360.99,330,276,2023-02-21T13:07:52.514265
1,cpu,13,1G,18,1,13,1000000,1,13,1500,360.99,330,276,2023-02-21T13:08:02.525649
1,cpu,13,1.25G,34,1,13,1000000,1,13,500,383.11,162,154,2023-02-21T13:11:17.269106
1,cpu,13,1.25G,34,1,13,1000000,1,13,750,696.32,163,154,2023-02-21T13:11:27.280063
1,cpu,13,1.25G,34,1,13,1000000,1,13,1000,696.32,163,154,2023-02-21T13:11:37.291404
1,cpu,13,1.25G,34,1,13,1000000,1,13,1500,696.32,163,154,2023-02-21T13:11:47.302404
1,cpu,13,1.5G,50,1,13,1000000,1,13,500,384.49,121,123,2023-02-21T13:15:03.670799
1,cpu,13,1.5G,50,1,13,1000000,1,13,750,630.8,128,123,2023-02-21T13:16:26.276145
1,cpu,13,1.5G,50,1,13,1000000,1,13,1000,630.8,128,123,2023-02-21T13:16:36.287937
1,cpu,13,1.5G,50,1,13,1000000,1,13,1500,696.54,135,123,2023-02-21T13:17:40.898038
1,cpu,13,2G,101,1,13,1000000,1,13,500,384.45,64,67,2023-02-21T13:20:46.581987
